euribor3m,job_blue-collar,job_housemaid,marital_unknown,month_apr,month_aug,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,poutcome_success,id,prediction
3,0,0,0,0,0,0,0,0,1,0,0,0,580,0
3,0,0,0,0,0,0,0,0,1,0,0,0,10104,0
3,0,0,0,0,0,0,0,0,0,0,0,0,2987,0
3,0,0,0,0,0,1,0,0,0,0,0,0,4480,0
3,1,0,0,0,0,0,0,0,0,1,0,0,30639,0
3,1,0,0,0,0,0,1,0,0,0,0,0,22691,0
3,0,0,0,0,0,0,0,0,1,0,0,0,20967,0
3,0,0,0,1,0,0,0,0,0,0,0,1,19788,0
3,0,0,0,0,0,1,0,0,0,0,0,0,9422,0
3,0,0,0,0,0,0,1,0,0,0,0,0,37458,0
3,1,0,0,0,0,0,0,0,1,0,0,0,16994,0
3,0,0,0,0,0,1,0,0,0,0,0,0,10095,0
3,0,0,0,1,0,0,0,0,0,0,0,1,39895,0
3,0,0,0,0,0,0,0,0,1,0,0,0,39766,0
3,1,0,0,0,0,0,0,0,1,0,0,0,15738,0
3,0,0,0,0,0,0,0,0,1,0,0,0,7570,0
3,0,0,0,1,0,0,0,0,0,0,0,1,19991,0
3,0,0,0,0,0,0,1,0,0,0,0,0,37538,0
3,1,0,0,0,0,1,0,0,0,0,0,0,15280,0
3,0,0,0,0,0,0,0,0,1,0,0,0,36536,0
3,0,0,0,0,0,0,0,0,1,0,0,0,18946,0
3,1,0,0,0,0,0,0,0,1,0,0,0,16229,0
3,0,0,0,0,0,1,0,0,0,0,0,0,7824,0
3,0,0,0,0,0,0,0,0,0,0,1,0,32109,0
3,1,0,0,0,0,0,0,0,1,0,0,0,12659,0
3,0,0,0,0,1,0,0,0,0,0,0,0,17637,0
3,0,0,0,0,1,0,0,0,0,0,0,0,30638,0
3,0,0,0,0,0,0,1,0,0,0,0,0,22696,0
3,0,0,0,0,0,0,0,0,1,0,0,0,20211,0
3,1,0,0,0,0,0,0,0,1,0,0,0,32079,0
3,0,0,0,0,0,0,0,0,1,0,0,0,9195,0
3,0,0,0,0,1,0,0,0,0,0,0,0,27485,0
3,0,0,0,0,1,0,0,0,0,0,0,0,13234,0
3,0,0,0,0,0,0,0,0,1,0,0,0,16098,0
3,0,0,0,0,0,0,0,0,1,0,0,0,4765,0
3,0,0,0,0,0,0,0,0,0,1,0,0,15889,0
3,1,0,0,1,0,0,0,0,0,0,0,0,22806,0
3,0,0,0,0,0,0,0,0,0,0,1,0,2146,0
3,0,0,0,1,0,0,0,0,0,0,0,0,1078,0
3,0,0,0,0,0,0,0,0,1,0,0,0,34480,0
3,0,0,0,0,0,0,0,0,1,0,0,0,38243,0
3,1,0,0,0,0,1,0,0,0,0,0,0,15178,0
3,1,0,0,0,0,1,0,0,0,0,0,0,34067,0
3,0,0,0,0,0,0,0,0,1,0,0,0,32164,0
3,0,0,0,0,0,0,0,0,0,1,0,0,14691,0
3,1,0,0,0,0,0,0,0,1,0,0,0,40061,0
3,1,0,0,0,0,0,0,0,1,0,0,0,34143,0
3,0,0,0,0,0,0,0,0,1,0,0,0,28654,0
3,0,0,0,0,1,0,0,0,0,0,0,0,31449,0
3,0,0,0,0,0,0,0,0,1,0,0,0,39405,0
3,0,0,0,0,0,1,0,0,0,0,0,0,23168,0
3,0,0,0,0,0,0,0,0,0,1,0,0,11273,0
3,0,0,0,0,0,0,0,1,0,0,0,0,16369,0
3,0,0,0,0,0,0,0,0,1,0,0,0,31448,0
3,0,0,0,0,0,0,0,0,1,0,0,0,40520,0
3,0,0,0,0,0,0,0,0,1,0,0,0,13407,0
3,1,0,0,0,0,0,1,0,0,0,0,0,13719,0
3,0,0,0,0,0,0,1,0,0,0,0,0,30239,0
3,0,0,0,0,0,1,0,0,0,0,0,0,29183,0
3,0,0,0,1,0,0,0,0,0,0,0,0,39358,0
3,0,0,0,0,1,0,0,0,0,0,0,0,36365,0
3,0,0,0,0,0,1,0,0,0,0,0,0,13285,0
3,0,0,0,0,0,0,1,0,0,0,0,0,4518,0
3,0,0,0,0,0,0,0,0,1,0,0,0,5842,0
3,0,0,0,0,1,0,0,0,0,0,0,0,19377,0
